Чек-лист проверок для страницы “карточка товара” https://www.detmir.ru/product/index/id/3366470/,,,,
Чек-лист №1,,,,
Исполнитель: Анастасия Бегунова QAP-1034,,,,
Окружение: Windows 11 Домашняя версия 21H2,,,,
,,,,
№,Приоритет,Проверка,Результат,Комментарий
1,Средний,Заголовок страницы содержит наименование товара,Passed,
,,,,
Основные элементы карточки товара,,,,
2,Высокий,На карточке присутствует легко-различимое наименование товара,Passed,
3,Высокий,На карточке присутствует фотография товара,Passed,
4,Средний,На карточке присутствуют миниатюры других фотографий товара,Passed,
5,Высокий,На карточке присутствует описание товара,Passed,
6,Высокий,На карточке присутствуют характеристики товара,Passed,
7,Высокий,На карточке присутствует информация о наличии товара,Passed,
8,Высокий,На карточке присутствует легко-различимая и отличная от других элементов информация о стоимоси товара,Passed,
9,Средний,На карточке присутствует инфрмация об условиях оплаты частями,Passed,
10,Высокий,На карточке присутствует информация о способах получения товара,Passed,
11,Высокий,"На карточке товара присутствует кнопка добавления товара в корзину, визуально выделяющаясчя на фоне остального содержимого страницы",Passed,
12,Средний,На карточке присутствует рейтинг товара,Passed,
13,Средний,На карточке товара отображаются отзывы,Passed,
14,Средний,"На карточке присутствует элемент навигации ""хлебные крошки""",Passed,
15,Средний,На карточке присутствует элемент для добавяления товара в список избранных товаров,Passed,
16,Средний,"На карточке товара присутствует  ""карусель"" с миниатюрами карточек сопутствующих товаров",Passed,
17,Низкий,"Сопутствующие товары можно добавить в корзину с текущей страницы, не переходя на страницы их карточек",Passed,
18,Низкий,"Сопутствующие товары можно добавить в список избранных товаров с текущей страницы, не переходя на страницы их карточек",Passed,
19,Средний,"На карточке товара присутствует ""карусель"" с миниатюрами карточек рекомендованных товаров",Passed,
20,Низкий,"Рекомендованные товары можно добавить в корзину с текущей страницы, не переходя на страницы их карточек",Passed,
21,Низкий,"Рекомендованные товары можно добавить в список избранных товаров с текущей страницы, не переходя на страницы их карточек",Passed,
22,Низкий,На карточке товара присутствует возможность перейти на страницу всех товаров бренда,Passed,
23,Низкий,На карточке товара присутствуют рекомендованные разделы с другими товарами,Passed,
24,Средний,На карточке товара присутствует возможность применить промокод,Passed,
25,Средний,На карточке товара присутствует информация о возврате товара,Passed,
26,Низкий,На карточке товара присутствует возможность ознакомиться с инструкцией товара при её наличии,Passed,
27,Низкий,На карточке товара присутствуют часто задаваемые вопросы с ответами на них,Passed,
28,Средний,"На карточке товара присутствует ""карусель"" с миниатюрами карточек товаров, просмотренных за текущий сеанс",Passed,
29,Средний,На карточке товара присутствует предупредждение об отличии цены в интернет-магазине от розничных магазинов.,Passed,
30,Высокий,На карточке товара присутствует информация о действующих акциях на данный товар,Passed,
31,Средний,"На карточке товара присутствует хедер карточки, появляющийся при скроле карточки вниз",Passed,
32,Средний,"На карточке товара присутствует информация о бонусах, которые будут начисленны после покупки товара",Passed,
33,Средний,На карточке товара присутствуют фотографии покупателей товара,Passed,
34,Средний,"На карточке товара присутствует возможность оставить отзыв о товаре, если он есть в истории покупок пользователя",Passed,
,,,,
Хедер карточки товара,,,,
35,Высокий,На хедере карточки товара присутствует миниатюрная фотография товара,Passed,
36,Высокий,На хедере карточки товара присутствует наименование товара,Passed,
37,Низкий,На хедере карточки товара присутствует информация об отзывах и рейтинге товара,Passed,
38,Низкий,На хедере карточки товара есть возможность добавить товар в список избранных товаров,Passed,
39,Низкий,На хедере карточки товара есть возможность перейти на страницу всех товаров бренда,Passed,
40,Высокий,На хедере карточки товара присутствует информация о стоимости товара,Passed,
41,Высокий,"На хедере карточки товара присутствует кнопка добавления товара в корзину, визуально выделяющаясчя на фоне остального содержимого страницы",Passed,